Track #,Notification Date,Layoff Type,Count,Employer,City,Notice
2251,03/21/2018,Permanent closure,152,Boyd's Coffee,Portland,
2249,03/19/2018,Large Layoff - 10 or more workers,142,Bartels Packing Inc,Eugene,
2245,02/21/2018,Large Layoff - 10 or more workers,54,Vectrus,"Colorado Springs, CO",
2242,02/05/2018,Permanent closure,137,Nordstrom,"Seattle, WA",
2238,02/02/2018,Large Layoff - 10 or more workers,157,Adventist Medical Center,Portland,
2236,01/29/2018,Permanent closure,165,General Distributors Inc,Oregon City,
2231,01/05/2018,Permanent closure,208,Convergys,Wilsonville,
2225,12/18/2017,Permanent closure,322,FamilyCare Health,Portland,
2216,12/05/2017,Large Layoff - 10 or more workers,197,Symantec Corporation,Springfield,
2212,11/13/2017,Large Layoff - 10 or more workers,29,Zenith Education Group,"Minneapolis, MN",
2211,11/08/2017,Large Layoff - 10 or more workers,25,"SureID, Inc - dba. Fortior Solutions",Hillsboro,
2210,11/06/2017,Large Layoff - 10 or more workers,71,Microsoft Corporation,"Redmond, WA",
2209,11/01/2017,Large Layoff - 10 or more workers,18,jive,Portland,
2207,10/19/2017,Permanent closure,277,West Linn Paper Co,West Linn,
2182,09/19/2017,Large Layoff - 10 or more workers,110,Pacific Crest Transformers,Medford,
2179,09/14/2017,Permanent closure,199,NORPAC FOODS Inc / Hermiston Foods,Salem,
2173,09/08/2017,Permanent closure,181,SYKES,"TAMPA, FL",
2172,09/07/2017,Permanent closure,92,"Panasonic Eco Solutions Solar America, LLC",Salem,
2171,09/01/2017,Large Layoff - 10 or more workers,745,Nike,Beaverton,
2158,07/18/2017,Large Layoff - 10 or more workers,53,Asurion,Klamath Falls,
2147,07/11/2017,Permanent closure,82,Western Graphics & Data/Travel Tags Inc,Portland,
2144,07/11/2017,Large Layoff - 10 or more workers,124,Microsoft Corporation,"Redmond, WA",
2142,07/05/2017,Permanent closure,199,NORPAC FOODS,Salem,
2141,07/05/2017,Permanent closure,24,NORPAC FOODS,Salem,
2124,06/19/2017,Large Layoff - 10 or more workers,376,SureID,Hillsboro,
2123,05/30/2017,Permanent closure,101,Special Mobility Services Inc,Portland,
2122,05/25/2017,Large Layoff - 10 or more workers,360,SolarWorld,Hillsboro,
2119,05/03/2017,Large Layoff - 10 or more workers,186,Holiday Retirement,Lake Oswego,
2118,05/03/2017,Permanent closure,121,Aramark,"Philadephia, PA",
2112,03/22/2017,Permanent closure,62,Portland Willamette,Portland,
2111,05/05/2017,Large Layoff - 10 or more workers,143,Convergys,Wilsonville,
2110,04/30/2017,Large Layoff - 10 or more workers,271,PeaceHealth,"Vancouver, WA",
2109,02/10/2017,Permanent closure,57,Frontier Communications,Beaverton,
2108,01/31/2017,Permanent closure,91,Cenveo,Portland,
2107,01/09/2017,Large Layoff - 10 or more workers,85,Security Industry Specialists Inc,"Culver City, CA",
2106,01/05/2017,Permanent closure,96,Macy's,Portland,
2105,01/31/2017,Permanent closure,186,Commercial Aircraft Painting Services LLC,Portland,
2104,12/31/2016,Large Layoff - 10 or more workers,96,UTI,Portland,
2103,11/07/2016,Large Layoff - 10 or more workers,8,Experience Works Inc,"Arlington, VA",
2102,11/01/2016,Permanent closure,168,ESCO,Portland,
2101,10/24/2016,Reduction,50,Farmers Insurance,"Woodland Hills, CA",
2100,09/02/2016,Permanent closure,418,Sykes,"Tampa, FL",
2099,08/22/2016,Large Layoff - 10 or more workers,186,Menzies Aviation,"El Segundo, CA",
2098,08/16/2016,Permanent closure,57,Safeway,Clackamas,
2097,09/19/2016,Permanent closure,67,Collins Management Corporation,Wilsonville,
2096,09/09/2016,Permanent closure,50,"Zelenka Farms - BFN Operations, LLC","Irving, TX",
2095,09/04/2016,Reduction,102,Bank of America,Hillsboro,
2093,08/31/2016,Large Layoff - 10 or more workers,198,DCS Facility Services,"Stockton, CA",
2092,06/27/2016,Permanent closure,67,Durham School Services,Roseburg,
2091,07/22/2016,Permanent closure,82,"Norm Thompson Outfitters, Inc.",Hillsboro,
2090,04/28/2016,Large Layoff - 10 or more workers,50,Veritas,Springfield,
2088,04/27/2016,Permanent closure,113,RR Donnelley,Portland,
2087,04/26/2016,Large Layoff - 10 or more workers,784,Intel,"Santa Clara, CA",
2086,05/27/2016,Permanent closure,156,Lund International,Portland,
2085,03/22/2016,Permanent closure,275,"Firstsource Group USA, Inc.",Eugene,
2084,03/22/2016,Permanent closure,2,Mycom North America,Portland,
2083,03/14/2016,Permanent closure,70,Haggen Food & Pharmacy,Oregon City,
2082,03/10/2016,Permanent closure,138,Haggen Food & Pharmacy,Clackamas,
2081,03/03/2016,Large Layoff - 10 or more workers,190,Pinnacle Workforce Logistics,Clackamas,
2080,02/15/2016,Large Layoff - 10 or more workers,80,Aequitas Capital,Lake Oswego,
2079,02/16/2016,Large Layoff - 10 or more workers,50,"Panasonic Eco Solutions Solar America, LLC",Salem,
2078,02/10/2016,Large Layoff - 10 or more workers,230,EVRAZ,Portland,
2077,02/02/2016,Large Layoff - 10 or more workers,41,UTi,Portland,
2075,01/28/2016,Large Layoff - 10 or more workers,50,Global Partners LP (Global) Columbia Pacific Bio-Refinery,Clatskanie,
2074,04/15/2016,Permanent closure,64,Walmart,Lake Oswego,
2073,04/15/2016,Permanent closure,39,Walmart,Portland,
2072,03/01/2016,Reduction,74,"Youth Villages, Christie Campus",Lake Oswego,
2071,01/04/2016,Permanent closure,9,"A-List, Inc. and H-List, Inc. dba Kitson",Portland,
2070,12/18/2015,Large Layoff - 10 or more workers,39,"Pacific States Plywood, Inc.",Springfield,
2069,01/01/2016,Reduction,140,Greatbatch,Beaverton,
2068,12/28/2015,Permanent closure,55,Woodgrain Millwork,Prineville,
2067,01/15/2015,Permanent closure,171,WestRock,Newberg,
2066,09/25/2015,Permanent closure,416,Haggen Food & Pharmacy,"Bellingham, WA",
2065,10/14/2015,Permanent closure,331,Haggen Food and Pharmacy,"Bellingham, WA",
2064,07/24/2015,Permanent closure,846,Capital One,Portland,
2063,09/04/2015,Permanent closure,114,MAG Retail Group,Medford,
2051,05/31/2015,Permanent closure,68,Netflix Inc,Hillsboro,
2049,03/04/2015,Large Layoff - 10 or more workers,88,CP Medical Corporation,Portland,
2048,02/26/2015,Temporary Layoff,1,Ambassadors Programs Inc.,"Spokane, WA",
2039,01/29/2015,Permanent closure,91,Safeway Inc.,Clackamas,
2038,06/01/2015,Large Layoff - 10 or more workers,100,Kaiser Permanente,Portland,
2037,01/12/2015,Large Layoff - 10 or more workers,62,Cover Oregon,Durham,
2026,11/25/2014,Large Layoff - 10 or more workers,133,Woodgrain Millwork,Prineville,
2025,11/03/2014,Permanent closure,172,Lloyd Center Nordstrom,Portland,
2024,10/29/2014,Temporary Layoff,57,Ringside Steakhouse,Portland,
2022,08/08/2014,Permanent closure,26,Umatilla Chemical Agent-URS,Hermiston,
2020,07/31/2014,Temporary Layoff,5,Elks Rehab System,Ontario,
2018,06/30/2014,Permanent closure,100,BFN Operations LLC,Cornelius,
2017,06/12/2014,Permanent closure,64,Kmart Corporation,Albany,
2015,05/27/2014,Permanent closure,76,"LAIKA, LLC",Hillsboro,
2014,05/19/2014,Large Layoff - 10 or more workers,25,URS-Umatilla Chemical Agent Disposal,Hermiston,
2013,05/13/2014,Permanent closure,237,Commercial Vehicle Group Inc.,Tigard,
2005,04/01/2014,Large Layoff - 10 or more workers,84,Welch Allyn,Beaverton,
2003,03/21/2014,Permanent closure,114,CenturyLink Customer Contact Sales & Service Center,Medford,
2000,03/03/2014,Large Layoff - 10 or more workers,41,West Linn Paper Co,West Linn,
1995,04/04/2014,Permanent closure,87,Sierra Pines Ltd.,Springfield,
1993,01/22/2014,Large Layoff - 10 or more workers,119,Glenn Walters Nursery,Cornelius,
1986,02/02/2014,Permanent closure,78,System Services of America Inc,Portland,
1985,11/07/2013,Large Layoff - 10 or more workers,131,Evergreen International Airlines Inc.,Mcminnville,
1981,10/28/2013,Large Layoff - 10 or more workers,59,Bank of America,"Washington, DC",
1979,10/23/2013,Large Layoff - 10 or more workers,92,Wells Fargo Home Mortgage Retail Retail Distributed Fulfillment Group,Portland,
1977,10/15/2013,Permanent closure,51,American Bridge Manufacturing Company,"Coraopolis, PA",
1976,09/13/2013,Large Layoff - 10 or more workers,66,CapitalOne,Portland,
1975,09/13/2013,Permanent closure,163,Dutchmen,"Goshen, IN",
1974,09/03/2013,Large Layoff - 10 or more workers,4,URS-UMCDF,Hermiston,
1973,08/12/2013,Large Layoff - 10 or more workers,198,Blount International,Portland,
1972,07/29/2013,Reduction,22,"Cambia Health Solutions, Inc.",Portland,
1971,07/23/2013,Reduction,111,Kaiser Permanente,Portland,
1970,07/08/2013,Reduction,101,SolarWorld,Hillsboro,
1969,06/18/2013,Large Layoff - 10 or more workers,49,Ohio Retail Security and Mainstreet Maintenance,"Columbus, OH",
1968,06/03/2013,Reduction,8,Zynga,Eugene,
1967,05/31/2013,Large Layoff - 10 or more workers,70,Ricoh,Portland,
1966,05/14/2013,Large Layoff - 10 or more workers,51,CenturyLink,"Overland Park, KS",
1965,05/06/2013,Large Layoff - 10 or more workers,539,Ovations,"Lutz, FL",
1964,05/01/2013,Permanent closure,285,Xerox Business Services,"Lewisville, TX",
1963,04/29/2013,Permanent closure,900,AEG Facilities,"Los Angeles, CA",
1962,04/29/2013,Reduction,50,SANYO Solare of Oregon LLC,Salem,
1961,04/23/2013,Permanent closure,88,Rough & Ready Lumber LLC,Cave Junction,
1960,04/22/2013,Permanent closure,136,URS-Umatilla Chemical Depo,Hermiston,
1959,04/22/2013,Permanent closure,60,FOSS,"Seattle, WA",
1958,04/22/2013,Permanent closure,29,Solopower,Portland,
1956,03/12/2013,Permanent closure,5,URS-Umatilla Chemical Agent Disposal,Hermiston,
1955,03/05/2013,Permanent closure,117,SW Research Institute-UMCDF,"San Antonio, TX",
1951,02/19/2013,Permanent closure,174,Guckenheimer,"Redwood Shores, CA",
1949,01/24/2013,Permanent closure,66,Pepsi Beverages Company,Portland,
1948,01/23/2013,Permanent closure,124,Career Education Corporation,"Schaumburg, IL",
1947,01/22/2013,Permanent closure,61,Kmart Corporation,"Hoffman Estates, IL",
1946,01/11/2013,Permanent closure,2,American Suzuki Motor Corporation,,
1945,01/08/2013,Permanent closure,11,SW Research Institute UMCDF-,"San Antonio, TX",
1944,01/04/2013,Permanent closure,115,Sealy Mattress Company,Portland,
1943,12/18/2012,Permanent closure,178,URS - UMCDF,Hermiston,
1942,12/13/2012,Reduction,7,TriWest Healthcare Alliance,"Phoenix, AZ",
1938,10/30/2012,Permanent closure,,Fashion Tech Window Coverings,Portland,
1937,10/16/2012,Permanent closure,106,"Boise, Inc.",St. Helens,
1936,09/26/2012,Reduction,217,Capital One,,
1935,09/25/2012,Large Layoff - 10 or more workers,97,Conservation Services Group,"Westborough, MA",
1934,09/18/2012,Large Layoff - 10 or more workers,93,Warm Springs Forest Product Industries,Warm Springs,
1933,09/10/2012,Permanent closure,34,URS - UMCDF,Hermiston,
1931,07/10/2012,Permanent closure,46,"America's Body Company, LLC","Shillington, PA",
1930,06/15/2012,Permanent closure,52,Salem Hospital,Salem,
1929,06/06/2012,Permanent closure,1,URS - UMCDF,Hermiston,
1923,05/07/2012,Permanent closure,1,"Hostess Brands, Inc.",Baker City,
1922,05/04/2012,Permanent closure,79,Capital One Services,Porltand,
1921,05/03/2012,Permanent closure,65,Lumber Products,Tualatin,
1920,04/30/2012,Permanent closure,86,"AT&T Mobility Services, LLC","Duluth, MN",
1919,03/26/2012,Permanent closure,350,Siltronic Corporation,Portland,
1918,03/22/2012,Permanent closure,359,T-Mobile,"Bellevue, WA",
1917,03/07/2012,Reduction,55,Symantec Corporation,Beaverton,
1916,02/01/2012,Permanent closure,1,Schneider National Inc.,"Green Bay, WI",
1915,01/31/2012,Permanent closure,50,MASCO Bath,"Moorestown, NJ",
1914,01/17/2012,Permanent closure,102,"Monaco RV, LLC",Coburg,
1913,01/13/2012,Permanent closure,17,URS - UMCDF,Hermiston,
1912,12/22/2011,Large Layoff - 10 or more workers,94,"MEMC Electronic Materials, Inc.",Portland,
1911,11/22/2011,Permanent closure,,"Integrated Device Technology, Inc. (IDT)",Hillsboro,
1910,10/25/2011,Permanent closure,120,"Premier Pacific Vineyard Management, LLC","Napa, CA",
1909,09/20/2011,Large Layoff - 10 or more workers,35,"Pace American Enterprises, Inc.",Lebanon,
1908,07/18/2011,Permanent closure,90,Nationwide Insurance,"Columbus, OH",
1907,07/14/2011,Permanent closure,160,"Musician's Friend, Inc.",Medford,
1906,05/23/2011,Permanent closure,58,Insight Schools,Portland,
1872,02/24/2011,Permanent closure,181,Blue Heron Paper Company,Oregon City,
1871,02/22/2011,Permanent closure,72,"Haggen, Inc.",,
1870,10/15/2010,Reduction,55,Silver Eagle Company,Portland,
1869,12/02/2010,Permanent closure,83,Liberty Homes Inc.,Sheridan,
1868,12/02/2010,Permanent closure,51,Zip Realty,Tigard,
1867,12/02/2010,Permanent closure,80,"bioMerieux, Inc.",Wilsonville,
1866,10/07/2010,Reduction,152,Hines Nurseries,Forest Grove,
1865,09/24/2010,Permanent closure,109,Wealthbridge Mortgage,Beaverton,
1863,08/03/2010,Permanent closure,32,Alcan Cable,Roseburg,
1862,07/27/2010,Permanent closure,94,Gladstone Honda & Gladstone Nissan,Gladstone,
1860,06/09/2010,Permanent closure,196,Senvoy,Portland,
1859,05/19/2010,Large Layoff - 10 or more workers,150,"Sunwest Management, Inc.",Salem,
1858,05/14/2010,Permanent closure,60,Havi Logistics,Portland,
1857,05/03/2010,Permanent closure,600,"Movie Gallery, Inc.",Wilsonville,
1856,04/28/2010,Permanent closure,19,IGT,Corvallis,
1855,03/23/2010,Permanent closure,100,Saks Fifth Avenue,Portland,
1854,03/01/2010,Large Layoff - 10 or more workers,68,Artex Aircraft Supplies,Aurora,
1848,01/21/2010,Large Layoff - 10 or more workers,55,Auto Warehousing Co.,"Tacoma, WA",
1847,01/06/2010,Large Layoff - 10 or more workers,65,Alcan Cable,Roseburg,
1846,12/23/2009,Permanent closure,100,"Means Nursery, Inc.",Scappoose,
1845,12/14/2009,Permanent closure,188,Suntron,Newberg,
1844,12/08/2009,Permanent closure,139,"Baker and Taylor, Inc.","Momence, IL",
1843,12/07/2009,Permanent closure,140,Weyerhaeuser,Warrenton,
1842,11/12/2009,Large Layoff - 10 or more workers,336,"Sykes Enterprises, Incorporated","Tampa, FL",
1841,11/09/2009,Permanent closure,72,"Mount Bachelor Educational Center, Inc.",Prineville,
1840,11/04/2009,Permanent closure,42,"Sun Microsystems, Inc.",Hillsboro,
1839,10/23/2009,Permanent closure,25,Pepsi,,
1833,10/07/2009,Permanent closure,106,"Canron Western Constructors, Inc.",Portland,
1832,10/06/2009,Permanent closure,94,"Ferguson Enterprises, Inc.","Newport News, VA",
1825,09/18/2009,Large Layoff - 10 or more workers,52,"LAIKA, Inc.",Portland,
1824,09/18/2009,Permanent closure,183,Benchmark Electronics,Beaverton,
1823,09/01/2009,Permanent closure,46,Crossmark,"Plane, TX",
1820,08/21/2009,Reduction,39,Metso Minerals,Portland,
1819,08/17/2009,Permanent closure,158,Cleanpak International,Clackamas,
1814,08/12/2009,Large Layoff - 10 or more workers,14,"Crossroad Services, Inc.","Orange, CA",
1808,07/07/2009,Large Layoff - 10 or more workers,60,InFocus,Wilsonville,
1807,07/02/2009,Permanent closure,89,Fleetwood Homes,Woodburn,
1802,07/02/2009,Large Layoff - 10 or more workers,109,RM International,Portland,
1795,06/04/2009,Permanent closure,125,"Philips Products, Inc.",Stayton,
1794,06/02/2009,Permanent closure,62,Nypro,"Clinto, MA",
1792,06/02/2009,Reduction,50,Hach Ultra Analytics,Grants Pass,
1761,05/21/2009,Permanent closure,154,"Artex Aircraft Supplies, Inc.",Aurora,
1760,05/15/2009,Permanent closure,162,Market Strategies International,Portland,
1759,05/14/2009,Large Layoff - 10 or more workers,500,Nike,Beaverton,
1758,04/28/2009,Permanent closure,53,Rose City Cafe,Portland,
1757,04/16/2009,Permanent closure,75,Albany Trucking,Albany,
1756,04/14/2009,Permanent closure,157,North River Boats,Roseburg,
1755,04/10/2009,Reduction,17,Nike,Beaverton,
1754,04/07/2009,Large Layoff - 10 or more workers,85,Hampton Affiliates,Portland,
1753,04/06/2009,Permanent closure,19,JP Morgan Chase,"Metairie, LA",
1752,03/31/2009,Large Layoff - 10 or more workers,225,Evraz Inc.,Portland,
1750,05/01/2009,Large Layoff - 10 or more workers,120,Boise Cascade,La Grande,
1749,03/17/2009,Permanent closure,55,HiRel Systems LLC,"Minnetonka, MN",
1748,03/10/2009,Large Layoff - 10 or more workers,59,Weyerhaeuser Warrenton Lumber Mill,Warrenton,
1747,03/09/2009,Permanent closure,253,"Fleetwood Enterprises, Inc.","Riverside, CA",
1746,03/09/2009,Permanent closure,162,"Fleetwood Enterprises, Inc.","Riverside, CA",
1745,03/02/2009,Reduction,1396,Monaco Coach Corporation,Coburg,
1736,03/17/2009,Permanent closure,78,Weyerhaeuser-Dallas Lumber,Dallas,
1735,02/20/2009,Permanent closure,47,Verizon Wireless,"Basking Ridge, NJ",
1734,02/19/2009,Large Layoff - 10 or more workers,190,"Joe's Sports, OUtdoor & More",Wilsonville,
1733,02/11/2009,Reduction,80,Cascade Healthcare Community,Bend,
1731,02/06/2009,Large Layoff - 10 or more workers,98,Bright Wood Corporation,Madras,
1730,01/13/2009,Permanent closure,113,Boise Cascade - White City,Medford,
1729,01/12/2009,Permanent closure,110,Sauer-Danfoss Company,Hillsboro,
1728,01/12/2009,Large Layoff - 10 or more workers,222,GE Security,Tualatin,
1727,01/05/2009,Permanent closure,105,BMC West/Select Build,"Boise, ID",
1726,01/05/2009,Large Layoff - 10 or more workers,460,Country Coach,Junction City,
1725,12/22/2008,Large Layoff - 10 or more workers,27,North Sky Communications,"Vancouver, WA",
1724,12/09/2008,Permanent closure,54,"Lime Financial Services, Ltd.",Lake Oswego,
1723,02/04/2009,Permanent closure,15,Shorewood Packaging,Springfield,
1722,11/17/2008,Large Layoff - 10 or more workers,300,"Boise Paper Holdings, LLC","Boise, ID",
1721,11/21/2008,Permanent closure,280,DHL,Tigard,
1720,10/17/2008,Permanent closure,174,Bayliner/US Marine,Roseburg,
1719,10/06/2008,Permanent closure,14,Johnson Controls,"Chandler, AZ",
