Date Notice Posted,Company,County,Affected Workers,Closure/Layoff Date,Notice/Type
2018/9/7,Fred's Inc.,Shelby,80,"October 28, 2018",#20180028
2018/9/5,Kayser-Roth Corporation,Rhea,85,"November 5, 2018",#20180027
2018/8/7,Caterpillar Inc.,Dyer,85,"October 1, 2018",#20180026
2018/7/12,"Cantech Industries, Inc.",Washington,68,"September 10, 2018",#2018025
2018/7/12,The Fresh Market,Sumner,61,"August 3, 2018",#2018024
2018/6/21,Jackson National Life Insurance,Williamson,64,"June 15, 2018, July 6, 2018, August 3, 2018",#2018023
2018/6/15,Xanitos Inc.,Hamilton,156,"August 18, 2018",#2018022
2018/6/11,Adient US LLC,Giles,54,"July 31, 2018",#20180021
2018/6/4,Incipio Group,Rutherford,48,"July 31, 2018",#20180020
2018/6/1,"LM Farms, LLC  dba Garden Alive! Farms",DeKalb,300,"August 3, 2018",#20180019
2018/5/23,"DAL Global Services, LLC",Davidson,123,"August 22, 2018",#20180018
2018/5/16,Verizon Wireless,Williamson,265,"June 29, 2018",#201817
2018/5/1,First Tennessee Bank,Greene,58,"June 30, 2018",#20180016
2018/5/1,TEC Industrial,Sullivan,238,"July 16, 2018",#20180015
2018/5/1,"East Tennessee Brain and Spine Center, P.C.",Washington,61,"June 30, 2018",#20180014
2018/4/ 27,"TI Group Automotive Systems, LLC",Greene,40,"June 29, 2018",#20180013
2018/4/20,Goodrich Corporation d/b/a UTC Aerospace Systems,Coffee,118,"June 29, 2018",#2018011
2018/4/19,Dicom Transportation Group,Davidson,53,"June 16, 2018",#2018010
2018/4/19,"IAC Springfield, LLC",Robertson,145,"June 13, 2018",#2018009
2018/4/9,"Endura Products Tennessee, LLC",White,75,"April 9, 2018",#2018008
2018/1/23,Bemis,Bedford,77,"August 31, 2018",#2018003
2018/1/11,Sam's Club,Davidson,132,"March 16, 2018",WARN #20180002
2018/1/11,Sam's Club,Shelby,162,"March 16, 2018",WARN # 20180001
2017/12/28,"Maplehurst Bakeries, LLC",Davidson,145,"February 23, 2018",WARN # 20170054
2017/12/19,AGC Flat Glass,Hawkins,50,"February 5, 2018",WARN # 20170053
2017/12/14,WestRock,Marion,76,"February 8, 2018",WARN # 20170052
2017/11/21,Aparium Hospitality Group LLC dba Madison Hotel Memphis,Shelby,33,"January 15, 2018",WARN # 20170051
2017/11/21,"Kopper Glo Mining, LLC",Claiborne,70,"January 8, 2018",WARN # 20170050
2017/11/2,"Adient, plc",Gibson,146,"December 31, 2017",WARN # 20170049
2017/10/26,Luxottica Retail North America Inc.,Shelby,208,"December 31, 2017",WARN # 20170048
2018/12/5,"Emergency Mobile Health Care, LLC",,207,"February 1, 2019",#20180036
2018/2/22,Whelan Security Company,Rutherford,95,"April 1, 2018",#2018007
2018/2/12,"Ebuys, Inc. dba Shoe Metro (She Metro)",Rutherford,172,"April 6, 2018",#2018006
2018/2/8,"Global Personnel Soultions, Inc.",Bradley,202,"February 8, 2018",#2018005
2018/1/30,Radial South,Shelby,486,"April 7, 2018",#2018004
