Date Notice Posted,Company,Closure Type,City,County,Number Affected
26 February 2015,"Asset Acceptance, LLC",Closure,Warren,Macomb,125
25 February 2015,Meijer Store #28,Closure,Flint,Genesee,248
21 January  2015,Comprehensive Logistics,Layoff,Lansing,Ingham,66
12 January  2015,"Apothecary Products, LLC",Closure,St. Charles,Saginaw,67
09 January  2015,Technicolor Video Cassette,Layoff,Southfield,Oakland,162
09 January  2015,Macy's Northland Center Store,Layoff,Southfield,Oakland,142
19 December 2016,GM Assembly Plant,Layoff,Detroit,Wayne,1192
19 December 2016,GM Subsystems,Layoff,Detroit,Wayne,78
16 December 2016,Burtek,Closure,Chesterfield,Macomb,108
16 December 2016,ADP,Closure,Ann Arbor,Washtenaw,1
01 December 2016,Comprehensive Logistics,Closure,Lansing,Ingham,138
30 November 2016,"ADP, LLC",Closure,Ann Arbor,Washtenaw,1
15 November 2016,"ADP, Inc.",LayOff,Ann Arbor,Washtenaw,79
15 November 2016,GM,LayOff,Lansing,Ingham,810
15 November 2016,"Experience Works, Inc.",LayOff,Bay City,Bay,8
24 October 2016,Avancez,Layoff,Warren,"Macomb, St. Clair",87
10 October 2016,"Faurecia, Merril Road, Sterling Heights",Layoff,Sterling Heights,Macomb,117
10 October 2016,"Faurecia, Sims Road, Sterling Heights",Layoff,Sterling Heights,Macomb,98
07 October 2016,Faurecia Interior Systems - Masonic Plant,Layoff,Fraser,Macomb,93
07 October 2016,Faurecia Interior Systems - Fraser Plant,Layoff,Fraser,Macomb,40
30 September 2016,Kmart - Jackson,Closure,Jackson,Jackson,52
30 September 2016,Kmart - Manistee,Closure,Manistee,Manistee,77
30 September 2016,Kmart - Grand Rapids,Closure,Grand Rapids,Kent,71
30 September 2016,Kmart - Byron Center,Closure,Sault Saint Marie,Chippewa,47
30 September 2016,Kmart - Fenton,Closure,Fenton,Genesee,46
30 September 2016,Kmart - Alpena,Closure,Alpena,Alpena,50
27 September 2016,ADP,Layoff,Ann Arbor,Washtenaw,79
23 September 2016,Midwest Medical Center - Detroit,Layoff,Detroit,Wayne,106
23 September 2016,"Midwest Medical Center, Dearborn",Layoff,Dearborn,Wayne,106
23 August 2016,"Novo 1, Inc.",Layoff,Grand Rapids,Kent,106
28 July 2016,"Martinrea Hot Stampings, Inc.",Layoff,Detroit,Wayne,Up to 122
25 July 2016,Dow Corning - Bay City,Layoff,Bay City,Bay,110
25 July 2016,Dow Corning - Auburn,Layoff,Auburn,Bay,238
21 July 2016,Kmart,Layoff,Clinton Township,Macomb,82
18 July 2016,PAE - Postal Operations Mail Transport Equipment Service Center (MTESC),Closure,Wayne,Wayne,58
15 July 2016,"Martinrea Hot Stampings, Inc. - Amended",Layoff,Detroit,Wayne,32
13 July 2016,"Martinrea Hot Stampings, Inc.",Layoff,Detroit,Wayne,32
12 July 2016,Zelenka Farms,Layoff,Grand Haven,Ottawa,300
01 July 2016,Martinrea Hot Stampings Inc.,Layoff,Detroit,Wayne,46
16 June 2016,Frank W. Kerr Company,Closure,Novi,Oakland,60
02 June 2016,XALT Energy,Layoff,Midland,Midland,100
01 June 2016,Turning Point Youth Center,Closure,St. Johns,Clinton,120
27 May 2016,Alphabroder,Closure,Niles,Berrien,90
17 May 2016,Bosch Emission Systems US,Closure,Kentwood,Kent,150
16 May 2016,McLaren - Flint,Layoff,Flint,Genesee,83
05 May 2016,Enviro-Clean,Layoff,Troy,Oakland,Unknown
05 May 2016,Gonzalez Group LLC,Closing,Litchfield,Hillsdale,61
05 May 2016,Faurecia Interior Systems - Sterling Heights,Layoff,Sterling Heights,Macomb,105
03 May 2016,"Sodexo, Inc.",Layoff,Rochester,Oakland,100
03 May 2016,Ryder,Layoff,Trenton,Wayne,Unknown
03 May 2016,Faurecia Interior Systems - Masonic Plant,Layoff,Fraser,Macomb,120
03 May 2016,Faurecia Interior Systems - Fraser Plant,Layoff,Fraser,Macomb,10
29 April 2016,Kmart,Layoff,Taylor,Wayne,149
27 April 2016,Precision Motors,Layoff,Okemos,Ingham,24
15 April 2016,Cliff Natural Resources,Layoff,"Negaunee, Ishpeming, and Palmer",Marquette,318
13 April 2016,FIAT CHRYSLER AUTOMOBILE,Layoff,Sterling Heights,Macomb,1435
11 March 2016,WKW AUTOMOTIVE,Closure,Battle Creek,Calhoun,130
03 March 2016,Maslow Media,Closure,Detroit,Wayne,1
29 February 2016,De-STA-Co,Closure,Charleviox,Charlevoix,46
29 February 2016,MidMichigan - Gladwin Pines,Closure,Gladwin,Midland,85
26 February 2016,Grand Rapids Plastics,Layoff,Grand Rapids,Kent,85
26 February 2016,MidMichigan - Stratford Village,Closure,Midland,Midland,143
16 February 2016,Bronson Precision,Closure,Bronson,Branch,125
16 February 2016,Royal Oak Boring,Closure,Port Huron,St. Clair,66
03 February 2016,McLaren Medical Group,Layoff,"Flint, Lansing, Mt. Pleasant, Bay City: County: Genesee, Ingham, Bay","Genesee, Ingham, Bay County, Isabella;",84
19 January  2016,Wal-Mart,Closure,Hartland,Livingston;,130
15 January  2016,Wal-Mart,Closure,Waterford,Oakland,122
13 January  2016,Minacs,Layoff,Farmington Hills,Oakland,385
11 January  2016,ViSalus,Layoff,Troy,Oakland,87
06 January  2016,Dematic Corporation,Closure,Grand Rapids,Kent,estimated 365
04 January  2016,PIC Group,Closure,Wyandotte,Wayne,90
26 December 2017,Dematic Corp,Layoff,Grand Rapids,Kent,60
08 December 2017,Datapak Services Corp.,Layoff,Howell,Livingston,61
28 November 2017,YANFENG - Lansing,Layoff,Lansing,Eaton,10
27 November 2017,YANFENG - Highland Park,Layoff,Highland Park,Wayne,345
07 November 2017,Zenith Education Group,Closure,Southfield,Oakland,70
31 October 2017,Southwest Solutions,Layoff,Detroit,Wayne,122
16 October 2017,Kmart #04711,Closure,St. Clair Shores,Macomb,127
13 October 2017,"Home Rehabilitation Services of Michigan, LLC",Closure,Commerce Township,Oakland,113
11 October 2017,Automotive Component Carrier,Layoff,Flint and Lansing,Genesee and Ingham,60
10 October 2017,Dematic Corp.,Layoff,Grand Rapids,Kent,204
03 October 2017,Thrift Books Global LLC - Detroit,Closure,Riverview,Wayne,51
22 September 2017,Peoples Bank - National Mortgage Business Division,Closure,Southfield,Oakland,62
22 August 2017,"Arvato Digital Services, LLC",Closure,Farmington Hills,Oakland,72
22 August 2017,"Genpact, LLC",Layoff,Farminton Hills,Oakland,104
15 August 2017,"Dairy Fresh Foods, Inc.",Closure,Taylor,Wayne,160
01 August 2017,Molina Medical,Closure,Dearborn,Wayne,120
31 July 2017,Adient USA (aka) Recaro,Closure,Auburn Hills,Oakland,129
31 July 2017,dex yp,Closure,Madison Heights,Oakland,108
05 July 2017,Conner Assembly Plant,Closure,Detroit,Wayne,87
01 June 2017,"B & B Bacharach, LLC",Closure,Auburn Hills,Oakland,5
26 May 2017,Durham School Services,Layoff,Romulus,Wayne,61
26 May 2017,Kellogg Distribution Center,Closure,Detroit,Wayne,211
25 May 2017,Comcast,Closure,Wixom,Oakland,72
18 May 2017,UP Health System,Closure,Marquette,Marquette,95
12 May 2017,"Huntington Bancshares, Inc. (Huntington Bank)",Layoff,Holland,Ottawa,129
04 May 2017,Durham School Services,Layoff,Southfield,Oakland,118
04 May 2017,"Gestamp NA, Lapeer",Layoff,Lapeer,Lapeer,84
04 May 2017,"Sun Pharmaceutical Industries, Inc.",Closure,Wixom,Oakland,25
03 May 2017,Woodward Academy (Human Resource Experts),Closure,Detroit,Wayne,65
25 April 2017,Moog,Layoff,Livonia,Wayne,40
03 April 2017,CEVA,Closure,Redford,Wayne,188
03 April 2017,Sodexo,Closure,Detroit,Wayne,52
03 April 2017,"Dollar Express, Store #8361",Closure,Taylor,Wayne,5
03 April 2017,"Dollar Express, Store #4941",Closure,Oak Park,Oakland,12
03 April 2017,"Dollar Express, Store #8625",Closure,Wyoming,Kent,6
03 April 2017,"Dollar Express, Stores #4964, 5306",Closure,Grand Rapids,Kent,11
03 April 2017,"Dollar Express, Stores #1521, 5574, 5636, 6301, 6409",Closure,Detroit,Wayne,44
03 April 2017,"Dollar Express, Store #5959",Closure,Burton,Genesee,9
03 April 2017,"Dollar Express, Store #10126",Closure,Hazel Park,Oakland,7
03 April 2017,"Dollar Express, Store #6161",Closure,Hamtramck,Wayne,10
03 April 2017,A123 Systems LLC,Layoff,Romulus,Wayne,130
03 April 2017,"Dollar Express, Store #8993",Closure,Lansing,Ingham,4
03 April 2017,"Dollar Express, Store #6346",Closure,Ferndale,Oakland,7
03 April 2017,"Dollar Express, Store #8998",Closure,Portage,Kalamazoo,5
03 April 2017,"Dollar Express, Store #1265",Closure,Saginaw,Saginaw,8
03 April 2017,"Dollar Express, Store #4770",Closure,Holland,Ottawa,5
03 April 2017,"Dollar Express, Store #7100",Closure,Westland,Wayne,7
03 April 2017,"Dollar Express, Store #2137",Closure,Mt. Morris,Genesee,6
03 April 2017,"Dollar Express, Store #5412",Closure,Inkster,Wayne,11
03 April 2017,"Dollar Express, Store #8595",Closure,Eastpointe,Macomb,9
03 April 2017,"Dollar Express, Store #8591",Closure,Highland Park,Wayne,14
03 April 2017,"Dollar Express, Store #4716",Closure,Benton Harbor,Berrien,6
31 March 2017,RevSpring,Closure,Wixom,Oakland,52
31 March 2017,Suniva,Layoff,Saginaw,Saginaw,59
29 March 2017,SAF-Holland - Muskegon,Closure,Muskegon,Muskegon,125
24 March 2017,"SAF-Holland, Inc.",Closure,Holland,Ottawa,97
16 March 2017,Civil & Environmental Consultants Inc.,Closure,Novi,Oakland,8
15 March 2017,AT&T,Closure,Detroit,Wayne,53
07 March 2017,Miners Inc. d/b/a Super One Foods,Closure,Escanaba,Delta,75
07 March 2017,"Inteva Products, LLC",Layoff,Adrian,Lenawee,193
06 March 2017,GM,Layoff,Lansing,Ingham,1171
06 March 2017,syncreon,Closure,Dundee,Monroe,Unknown
28 February 2017,ADP - Ann Arbor,Closure,Ann Arbor,Washtenaw,16
28 February 2017,MC Sports,Closure,Kentwood,Kent,61
27 February 2017,"Family Christian Stores, LLC",Closure,Grand Rapids,Kent,170
06 February 2017,Penske,Layoff,"Warren, Detroit, Milford, Pontiac, Lansing, and Grand Blanc","Macomb, Wayne, Oakland, Genesee, and Ingham",165
03 February 2017,IST,Closure,Detroit,Wayne,114
01 February 2017,Alamo Drafthouse Cinema,Closure,Kalamazoo,Kalamazoo,109
27 January  2017,Inovalon,Closure,Lansing,Ingham,118
26 January  2017,Yanfeng,Layoff,Monroe,Monroe,321
25 January  2017,Android,Layoff,Detroit,Wayne,10
24 January  2017,"Delta Industrial Valves, Inc.",Closure,Niles,Berrien,56
18 January  2017,Sears - Store #6411,Closure,Grand Rapids,Kent,6
18 January  2017,Sears - Store #1140,Closure,Grand Rapids,Kent,78
09 January  2017,Focus: HOPE,Layoff,Detroit,Wayne,120
05 January  2017,Macy's,Closure,Westland,Wayne,130
05 January  2017,Macy's,Closure,Harper Woods,Wayne,141
04 January  2017,American Seating,Closure,Grand Rapids,Kent,80
21 December 2018,Adient USA LLC,Closure,Charlotte,Eaton,212
21 December 2018,"Bosal Industries-Georgia, Inc.",Layoff,Ypsilanti,Washtenaw,58
17 December 2018,GM - Brownstown Plant,Closing,Brownstown Township,Wayne,50
17 December 2018,GM - Hamtramck #1,Closing,Detroit,Wayne,648
17 December 2018,GM - Hamtramck #2,Closing,Detroit,Wayne,48
05 December 2018,"Alutiiq Professional Services, LLC",Layoff,Flint,Genesee,25
29 November 2018,"Alphi Manufacturing, LLC",Layoff,Jonesville,Hillsdale,106
28 November 2018,Hard Rock Caf̩ International,Closing,Detroit,Wayne,60
07 November 2018,Concentrix,Layoff,Southfield,Oakland,209
05 November 2018,Lowe's,Closing,Flint and Burton,Genesee,235
05 November 2018,Perfection Associates LLC,Closing,Coldwater,Branch,74
30 October 2018,Ernest Industries,Closure,Westland,Wayne,70
25 October 2018,"Harman International Industries, Inc.",Closure,Novi,Oakland,42
24 October 2018,Bimbo Bakeries USA,Closure,"Detroit, County: Wayne",Wayne County,50
23 October 2018,KinderCare Education,Layoff,Troy,Oakland,43
23 October 2018,"Professional Educational Services Group, LLC",Closure,Caledonia,Kent,18
19 October 2018,Sears,Layoff,Lincoln Park,Wayne,96
09 October 2018,"Spectrum Industries Decorative Finishes, Inc.",Closure,Kentwood & Grand Rapids,Kent,134
04 October 2018,State Farm,Closure,Livonia,Wayne,62
24 September 2018,Great North Foods,Layoff,Alpena,Alpena,19
20 September 2018,LenderLive,Layoff,Madison Heights,Oakland,45
14 September 2018,Menzies Aviation Inc.,Closure,Detroit,Wayne,189
07 September 2018,Coca-Cola - Great Lakes,Closure,Kalamazoo,Kalamazoo,102
29 August 2018,American Red Cross,Layoff,Statewide,Statewide,262
27 August 2018,"Kenco, Inc.",Closure,Dexter,Washtenaw,49
06 August 2018,Charter Communications,Layoff,Livonia,Wayne,60
01 August 2018,Charter Communications,Layoff,Walker,Kent,51
01 August 2018,Teleperformance USA,Closure,Grand Rapids,Kent,91
29 June 2018,"Dream Center Education Holdings, LLC",Closure,Novi,Oakland,114
21 June 2018,"Country Fresh, LLC",Closure,Livonia,Wayne,103
08 June 2018,SMART Oakland Terminal,Closure,Troy,Oakland,318
07 June 2018,Sears Auto Center #06492,Closure,Dearborn,Wayne,8
07 June 2018,Sears Auto Center #06472,Closure,Sterling Heights,Macomb,5
07 June 2018,"Sears, Roebuck and Company Store #01720",Closure,Sterling Heights,Macomb,63
07 June 2018,"Sears, Roebuck and Company Store #01700",Closure,Dearborn,Wayne,58
04 June 2018,Edward Brothers Malloy,Closure,Ann Arbor,Washtneaw,282
04 June 2018,Gardens Alive! Farms,Closure,Grand Haven,Ottawa,300
29 May 2018,Trinity - Dept. of Corrections,Closure,Statewide,Statewide,160
09 May 2018,Trinity - Dept of Corr,Closure,Statewide,Statewide,119
03 May 2018,Sodexo,Closure,Detroit,Wayne,34
30 April 2018,New Center Community Services,Closure,Detroit and Highland Park,Wayne,66
26 April 2018,MB Financial Bank,Closure,Statewide,Statewide,594
23 April 2018,Izzy+,Closure,Spring Lake,Ottawa,72
23 April 2018,Bosal,Layoff,Ypsilanti,Washtenaw,40
19 April 2018,"Trinity Services Group, Inc.",Closure,"Baraga, Marquette, and Marenisco","Baraga, Marquette, and Gogebic;",28
09 April 2018,Bon Ton - Carson's and Younkers,Closure,"Grandville, Livonia, Rochester Hills, Clinton","Kent, Wayne, Oakland, Lenawee;","163, 204, 130, 191"
06 April 2018,Hazel Park Raceway,Closure,Hazel Park,Oakland,Unknown
02 April 2018,Live Nation - Fillmore Detroit,Closure,Detroit,Wayne,180
14 March 2018,Envoy,Layoff,Detroit,Wayne,114
08 March 2018,Quest Diagnostics,Closure,Troy,Oakland,57
05 March 2018,Integrated Manufacturing & Assembly - IMA,Layoff,Highland Park,Wayne,127
02 March 2018,Ford Motor Company - Wayne,Layoff,Wayne,Wayne,"2,000"
08 February 2018,Bosal,Layoff,Ypsilanti,Washtenaw,77
05 February 2018,BonTon Stores,Closure,Adrian & Benton Harbor,Lenawee & Berrien,Unknown
05 February 2018,Compass Group,Layoff,Statewide,Statewide,396
26 January  2018,AT&T Detroit,Layoff,Detroit,Wayne,114
24 January  2018,Kellogg - Battle Creek RTEC Plant,Layoff,Battle Creek,Calhoun,14
11 January  2018,Sam's Club - Farmington Hills,Closure,Farmington Hills,Oakland,158
11 January  2018,Sam's Club - Lansing,Closure,Lansing,Ingham,172
26 December 2019,Motus One,Closure,Troy,Oakland,37
23 December 2019,United States Steel Corporation - Great Lakes Works,Closure,Ecorse,Wayne,1286
23 December 2019,"Aptim Services, LLC",Layoff,Bridgman,Berrien,108
16 December 2019,"Focus HOPE Companies, Inc.",Closure,Detroit,Wayne,58
09 December 2019,Logistics Insight Corp.,Layoff,Detroit,Wayne,48
03 December 2019,General Motors LLC - Detroit Hamtramck Assembly Plant,Layoff,Detroit,Wayne,814
21 November 2019,P&F Systems,Closure,Auburn Hills,Oakland,91
12 November 2019,AmCane Sugar,Closure,Taylor,Wayne,73
30 October 2019,Oakwood Worldwide (US) LP,Layoff,Novi,Oakland,3
29 October 2019,Hemisphere Design Works,Closure,Muskegon,Muskegon,68
25 October 2019,"Alorica, Inc.",Closure,Jackson,Jackson,67
20 September 2019,Barber Steel Foundry,Closure,Rothbury,Oceana,61
13 September 2019,"Hydro Extrusion North America, LLC",Closure,Kalamazoo,Kalamazoo,147
11 September 2019,Alticor,Layoff,Ada & Caledonia,Kent,171
09 September 2019,JACK Entertainment,Closure,Detroit,Wayne,92
03 September 2019,"Nestle, Inc.",Closure,Plymouth,Wayne,57
16 August 2019,"Venchurs, Inc.",Closure,Adrian,Lenawee,152
05 August 2019,A123 Systems,Closure,Livonia,Wayne,42
05 August 2019,US Steel Corporation (Great Lakes Works),Layoff,Ecorse,Wayne,48
05 August 2019,Presbyterian Villages of Michigan,Layoff,Southfield,Oakland,95
24 July 2019,Community Development Institute Head Start,Closure,Garden City,Wayne,49
03 July 2019,Graham Packaging,Closure,Holland,Ottawa,42
01 July 2019,Nordstrom,Closure,Clinton Township,Macomb,106
26 June 2019,Cocentrix,Closure,Southfield,Wayne,100
26 June 2019,State Farm,Closure,Portage,Kalamazoo,247
13 June 2019,"Conifer Revenue Cycle Solutions, LLC",Closure,Detroit,Wayne,65
10 June 2019,Lear Corporation,Closure,Taylor,Wayne,76
05 June 2019,Lord & Taylor,Closure,Sterling Heights,Macomb,97
28 May 2019,Durham School Services,Closure,Ypsilanti,Washtenaw,86
24 May 2019,General Motors LLC - Warren Transmission Operations,Closure,Warren,Macomb,265
03 May 2019,Alticor Inc.,Closure,Ada,Kent,115
02 May 2019,"Concerto Healthcare, Inc.",Closure,Statewide,Statewide,151
01 April 2019,FCA U.S.,Closure (Temporary),Detroit,Wayne,703
29 March 2019,Detroit Renewable Power,Closure,Detroit,Wayne,166
28 March 2019,TreeHouse Private Brands,Closing,Battle Creek,Calhoun,51
27 March 2019,Kroger,Layoff,Mt. Pleasant,Isabella,91
25 March 2019,Thomas - Shore,Layoff,Dexter,Washtenaw,80
22 March 2019,Fifth Third Bank,Layoff,Ann Arbor,Washtenaw,87
13 March 2019,"Lapeer Industries, Inc.",Layoff,Lapeer,Lapeer,160
12 March 2019,AMI Livonia,Closure,Livonia,Wayne,96
28 February 2019,Kerry Inc.,Closure,Kentwood,Kent,105
26 February 2019,Target,Closure,Sterling Heights,Macomb,136
25 February 2019,Amstore Corporation,Closure,Grand Rapids,Kent,107
19 February 2019,"Dakkota Integrated Systems, LLC",Layoff,Brownstown,Wayne,106
19 February 2019,RADGroup,Layoff,Troy,Oakland,9
06 February 2019,Integrated Manufacturing & Assembly (IMA),Layoff,Detroit,Wayne,175
05 February 2019,Dormakaba USA,Closure,Madison Heights,Oakland,103
04 February 2019,Harsco Rail,Closure,Ludington,Mason,151
04 February 2019,GM Warren Technical Center,Layoff,Warren,Macomb,"1,298"
04 February 2019,Monroe Bank and Trust,Layoff,Monroe,Monroe,93
04 February 2019,PPG Coatings,Closure,Livonia,Wayne,46
01 February 2019,Ford Motor Co. - Flat Rock,Layoff,Flat Rock,Wayne,1012
29 January  2019,Trinity Health Senior Communities,Closure,Ypsilanti,Washtenaw,115
29 January  2019,Tribus Services,Closure,Lansing and Waterford,Ingham and Oakland,208
10 January  2019,Reprise Media,Layoff,"Birmingham, County: Oakland",Oakland County,92
10 January  2019,Universal McCann Worldwide,Layoff,Birmingham,Oakland,116
10 January  2019,Mediabrands Worldwide,Layoff,"Birmingham, County: Oakland",Oakland County,5
01 June 2020,Wireless Vision,Layoff,Bloomfield Hills,Oakland,37
28 May 2020,Townsend Hotel,Layoff,Birmingham,Oakland,60
28 May 2020,First Student,Closure,Pontiac,Oakland,87
26 May 2020,"Aramark Services, Inc.",Layoff,Warren,Macomb,83
26 May 2020,Walbro LLC,Layoff,Cass City,Tuscola,164
22 May 2020,Marriott Auburn Hills Pontiac @ Centerpoint,Layoff,Pontiac,Oakland,101
21 May 2020,Hertz,Layoff,Detroit,Wayne,1
18 May 2020,"Gill Industries, Inc. - Plainfield NE",Layoff,Grand Rapids,Kent,84
18 May 2020,Grand River Polishing,Layoff,Spring Lake,Ottawa,20
13 May 2020,Enterprise Holdings,Layoff,Farmington Hills,Oakland,32
12 May 2020,Mariott,Layoff,Livonia,Wayne,66
12 May 2020,"Norma Michigan, Inc. Auburn Hills",Closure,Auburn Hills,Oakland,76
11 May 2020,Davidson Plyforms,Layoff,Grand Rapids,Kent,120
11 May 2020,Cox Automotive,Layoff,Carleton,Monroe,144
11 May 2020,Genesis Seating,Layoff,Grand Rapids,Kent,203
11 May 2020,Atrium Hospitality,Layoff,Southfield,Oakland,142
11 May 2020,Sara Lee Frozen Bakery,Layoff,Traverse City,Grand Traverse,210
08 May 2020,AKWEL Automotive,Layoff,Cadillac and Novi,Oakland and Wexford,121
08 May 2020,Pettibone/Traverse Lift LLC,Layoff,Baraga,Baraga,36
07 May 2020,Moiron,Layoff,Sparta,Kent,96
07 May 2020,Embassy Suites by Hilton,Layoff,Troy,Oakland,65
07 May 2020,Crescent Hotels & Resorts,Layoff,Southfield,Oakland,61
05 May 2020,MGM Grand Detroit,Layoff,Detroit,Wayne,"2,632"
05 May 2020,"Great Lakes Specialty Finance, Inc.",Layoff,Statewide,Statewide,62
05 May 2020,"Aludyne, Inc. - Montague",Layoff,Montague,Muskegon,40
04 May 2020,Graphic Packaging,Closure,White Pigeon,St. Joseph,100
04 May 2020,AK Steel,Closure,Dearborn,Wayne,343
